,Review,Subtheme_1,Sentiment_1,Subtheme_2,Sentiment_2,Subtheme_3,Sentiment_3,Subtheme_4,Sentiment_4,Subtheme_5,Sentiment_5,Subtheme_6,Sentiment_6,Subtheme_7,Sentiment_7,Subtheme_8,Sentiment_8,Subtheme_9,Sentiment_9,Subtheme_10,Sentiment_10,Subtheme_11,Sentiment_11,Subtheme_12,Sentiment_12,Subtheme_13,Sentiment_13,Subtheme_14,Sentiment_14,Subtheme_15,Sentiment_15,Subtheme_16,Sentiment_16,Subtheme_17,Sentiment_17,Subtheme_18,Sentiment_18,Subtheme_19,Sentiment_19,Subtheme_20,Sentiment_20,Subtheme_21,Sentiment_21,Subtheme_22,Sentiment_22,Subtheme_23,Sentiment_23,Subtheme_24,Sentiment_24,Subtheme_25,Sentiment_25,Subtheme_26,Sentiment_26,Subtheme_27,Sentiment_27,Subtheme_28,Sentiment_28,Subtheme_29,Sentiment_29,Subtheme_30,Sentiment_30
9207,"Such an easy, hassle free way to get new tyres. [REDACTED] book an appointment for you at your chosen fitting centre and deliver your choice of tyres ready for you. Just turn up for your appointment and that's it. So easy, [REDACTED] also very good at communicating with you too, they were unable to deliver my tyres on the day originally booked and liaised with me to arrange the best day for me and they rebooked my appointment. I will be using them for all future tyre needs, highly recommended.",easy hassle free way get new tyre,positive,REDACTED book appointment choose fitting centre deliver choice tyre ready,positive,turn appointment,negative,good communicate unable deliver tyre day book liaise arrange good day rebooke appointment,positive,use future tyre need recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9208,"Easy booking service and good options close to my location this very convenient, the third time I've used this device and was very pleased again.",easy booking service good option close location convenient third time use device pleased,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9209,Top class tyres at a good price.,top class tyre good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9210,"Very easy to use, provides all the relevant information in one place. Excellent customer services, provided compensation for delayed delivery of tyres. Would highly recommend.",easy use provide relevant information place,positive,excellent customer service provide compensation delay delivery tyre,positive,recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9211,The garage had problems on the day our tyres were due to be fitted. The staff did not have a key to open up and we had to wait an hour for someone to turn up with one .Once inside they said the tyres were not there and to come back another day also their fitting machine had broken. A message to [REDACTED] was immediately acted upon confirming that the tyres were there and arranging another date. Eventually our tyres were fitted and they seem fine and [REDACTED] refunded some money for the inconvenience.So all in all I think [REDACTED] did a good job.,garage have problem day tyre due fit,negative,staff have key open have wait hour turn .once say tyre come day fitting machine break,positive,message REDACTED act confirm tyre arrange date,negative,tyre fit seem fine refund money inconvenience,positive,think REDACTED do good job,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9212,Excellent no reservations,excellent reservation,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9213,"All worked really well, would use again",work use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9214,As always! great helpful service after using [REDACTED] for the fifth time. I would and have recommended to my friends and family.,,negative,great helpful service use REDACTED fifth time,positive,recommend friend family,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9215,First time I have used [REDACTED]. Highly recommend them. Tyres arrived at my local garage and had them fitted promptly,first time use REDACTED,positive,recommend,positive,tyre arrive local garage have fit,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9216,The complete service and ease of choosing what tyres I wanted was exceptional.,complete service ease choose tyre want exceptional,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9217,"Great service, mobile fitting of two rear tyres completed in a very short time at a very reasonable price",great service mobile fitting rear tyre complete short time reasonable price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9218,Fantastic deliver service well pleased with the tryes.EnamSutton Surrey,fantastic deliver service pleased tryes,positive,EnamSutton Surrey,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9219,"I ordered the tyres online at the weekend and after choosing the tyres and the fitter I was given the option of time on the following Thursday.I could either have the morning or the afternoon on a first-come first-served basis. I chose a morning slot and turned up at about 10.30.On arrival I was told the tyres were not there yet so left the car with fitters and walked nearly 3 miles home ( I need the exercise anyway)I later got a phone call to say the car was ready tyres had been fitted and returned to get the car.The tyres are fine, a [REDACTED] recommendation.that the tyres weren't actually at the fitters four days after ordering was disappointing hence the three stars rather than five. I should at least have been notified that the tyres would not be there in the morning and I would have rearranged a different day for the fitting.",order tyre weekend choose tyre fitter give option time follow Thursday,negative,have morning afternoon first come serve basis,negative,choose morning slot turn arrival tell tyre leave car fitter walk mile need exercise anyway)I get phone call say car ready tyre fit return get car,positive,tyre fine tyre fitter day order disappointing star,negative,least notify tyre morning rearrange different day fitting,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9220,"Everything was ready when I went for the fitting, very good service",ready go fitting good service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9221,Easy to get the tyres you want.,easy get tyre want,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9222,The whole process from start to finish was very easy and straightforward. Would most definitely use [REDACTED] again.,whole process start finish easy straightforward,positive,use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9223,Great service great price 👍,great service great price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9224,"I ordered the tyres from [REDACTED] as they were cheaper than Kwik fit, who I've used in the past. An appointment was offered at a time and day to suit me with a local tyre fitting company. I arrived at the depot the tyres were fitted and I was out and on my way within 30 minutes",order tyre REDACTED cheap Kwik fit use past,positive,appointment offer time day suit local tyre fit company,positive,arrive depot tyre fit way minute,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9225,Great service delivery and fitted to car as ordered on- line.,great service delivery fit car order on- line,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9226,"ordered another pair of the tyres at a good price for them to be delivered to a local garage to fit them, sorted :)",order pair tyre good price deliver local garage fit sort,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9227,"Fast and efficient service, would use this company for my next tyre change",fast efficient service use company next tyre change,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9228,"Booked tyres and timeslot through [REDACTED] but when I turned up was turned away as my car hadn't been booked in, I lost a couple of hours pay as left work early to get my tyres fitted, wasn't happy! Had to go back another day.",booked tyre timeslot REDACTED turn turn car book lose couple hour pay leave work get tyre fit happy,positive,have go day,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9229,"Great service, which I always use.",great service use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9230,"Very good service, although not too keen on being called ""love"" all the time and having my back patted.The tyres were as ordered, and all four were replaced in one hour.What a pity Swan Garage has to endure that ghastly car park.Price wise - excellent.",good service keen call love time have back pat,positive,tyre order replace hour,negative,pity Swan Garage have endure ghastly car park,negative,price wise excellent,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9231,"Value for money, fantastic choice of products",value money fantastic choice product,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9232,"Great service. Was harassed by email to leave a review. So here it is. 5/5 service, 1/5 after service harassment. Meet you half way, 3/5. Stop it.",great service,positive,harass email leave review,negative,,negative,service service harassment,negative,meet half way,negative,stop,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9233,"Reliable cost effective way to buy tyres. I've used [REDACTED] several times and never been let down. Simple, cost effective way of buying tyres. The website is easy to use - simply eneter details of your vehocle, select the tyres and garage you wish to use, pay and that's it. You'' get an email confirming your order, and your appointment. Simple and reliable.",reliable cost effective way buy tyre,positive,use REDACTED several time let,negative,simple cost effective way buy tyre,positive,website easy use eneter detail vehocle select tyre garage wish use pay,positive,get email confirm order appointment,negative,simple reliable,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9234,"Easy, cheap and discounted",easy cheap discount,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9235,"An excellent easy to use website with different search options leading to a focussed selection. The garage they partner with near me were extremely professional, friendly and efficient. An obviously well thought out customer journey and when i had a question was able to talk with a British based team. Brilliant",excellent easy use website different search option lead focusse selection,positive,garage partner professional friendly efficient,positive,think customer journey have question able talk british base team,positive,brilliant,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9236,Easy To use. Fitting dates at local fitting center a bit long.,easy use,positive,fitting date local fitting center bit,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9237,Used twice so far. Swift delivery and v competitive pricing. Works well with ATS Taunton. Happy to recommend.,use,positive,swift delivery v competitive pricing,negative,work ATS Taunton,negative,happy recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9238,"Kartechnic, really good service would recommend every time.",kartechnic good service recommend time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9239,Good service and kept up to date with progress of job as it was going to take longer than normal.,good service keep date progress job go take normal,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9240,hassle free and practical,hassle free practical,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9241,"Great experience - received the tyre and it was fitted exactly as expected, good price too.",great experience receive tyre fit expect good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9242,Good service - good price,good service good price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9243,The simplest process from beginning to end .,simple process begin end,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9244,Great service and excellent price.,great service excellent price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9245,[REDACTED] is the best way to buy new tyres for your car. The range and value can’t be beaten and the also choosing which garage you want to have them fitted at us a brilliant idea. There is no sales pressure when you turn up which makes a change. Will be using them again in the future.,good way buy new tyre car,positive,range value beat choose garage want have fit brilliant idea,positive,be sale pressure turn make change,negative,use future,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9246,"Very easy to use, works well. Will definitely use again in the future.excellent",easy use work,positive,use future.excellent,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9247,Very happy.great and pleasant service.,happy.great pleasant service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9248,"Quality tyres and a great price, fitting was done by the appointed garage at the arranged time. I would use this service again!",quality tyre great price fitting do appoint garage arranged time,positive,use service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9249,"Great company, quick service, user friendly website, will definitely use again.",great company quick service user friendly website use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9250,The customer service and fitting at the garage was excellent. I would recommend [REDACTED] website to my friends and family,customer service fit garage excellent,positive,recommend REDACTED website friend family,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9251,Choosing tyres on the website was straightforward and easy and a decent price was a bonus,choose tyre website straightforward easy decent price bonus,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9252,Ordered 2 Bridgestone tyres to be fitted by local garage. Choice of fitting days and times. No problems with service from start to finish. Excellent service and happy with choice of tyre and price.,order Bridgestone tyre fit local garage,negative,choice fitting day time,positive,problem service start finish,negative,excellent service happy choice tyre price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9253,"Garage service wonderful! Price competitive but review is only 3 stars mainly because the 2 4x4 tyres that I had fitted were actually manufactured four years ago, so the cheaper price was all down to the tyres being old stock! Although the tyre is classed as usable and can be sold and fitted up to 5 years from manufacture, if I had known beforehand the age of the tyres supplied I would have shopped elsewhere, disappointed.",garage service wonderful,positive,price competitive review star tyre fit manufacture year cheap price tyre old stock,positive,tyre class usable sell fit year manufacture know age tyre supply shop disappointed,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9254,Quick and very easy tyre replacement,quick easy tyre replacement,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9255,Awesome Price! Awesome Service! Definitely would recommend to everyone! Happy days 🙂,Awesome Price,positive,Awesome Service,positive,recommend,negative,happy day 🙂,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9256,Code for discount on purchasing four tyres is confusing.,code discount purchase tyre confusing,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9257,"Great company to deal with good price for quality product, always do what they promise",great company deal good price quality product do promise,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9258,"Excellent service, x4 tyres was replaced within a short space of time. And through [REDACTED] was certainly a lot cheaper..",excellent service x4 tyre replace short space time,positive,REDACTED lot cheap,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9259,All completed on time and very efficiently.,complete time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9260,Fantastic and incredibly efficient in addition to saving over forty quid,fantastic efficient addition save quid,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9261,"Booked the tyres to be fitted by a mobile tyre fitter at my home as I wanted to keep the tyres already on the car. The first appointment was missed as the tyres hadn't arrived in stock in time. This was very frustrating as I wanted the new tyres for a road trip I was taking to Scotland. We arranged to have the tyres fitted the following Saturday AM. At 11 o'clock that morning I received a call from the tyre fitters saying they hadn't received tyres from [REDACTED] (not true) and could they fit them tomorrow morning instead (Sunday). I said yes. The next day the tyre fitters didn't show up and I received no call whatsoever. I called them at around 4:45pm. They said they had broken down on the motorway and were going to call me that evening? I spoke to [REDACTED] who were deeply apologetic and arranged for the tyres to be fitted the following Saturday. I asked them not to use the same mobile tyre fitter as I didn't trust them but they did. The following Saturday arrived and once again, no one showed. I called [REDACTED] who called the tyre fitters. Once again the tyre fitters said they wouldn't be able to get to me and asked if they could come on Sunday again instead. Obviously I told them where to go. In the end we agreed that a local fitter to me would fit the tyres this Saturday. I went there and all appeared well. However when I collected the car some of the lacquer from two front wheels had been scuffed off! The tyre fitters came up with the reasons why but didn't actually apologise or accept blame. They said they will have a look at it this Friday. It's fair to say I have now given in. To be fair, throughout this whole situation, [REDACTED] customer service has actually been very good, especially from their call centre staff, and they have compensated me at each missed appointment. The problem is that there is a big issue with the tyre fitters they use/in general and I would not recommend whatsoever, having your tyres mobile fitted in the Leeds/Bradford area as this is the only mobile tyre fitter [REDACTED] use.",book tyre fit mobile tyre fitter home want keep tyre car,negative,first appointment miss tyre arrive stock time,positive,frustrating want new tyre road trip take Scotland,negative,arrange have tyre fit follow Saturday AM,negative,o'clock morning receive call tyre fitter say receive tyre true fit tomorrow morning Sunday,positive,say,negative,next day tyre fitter show receive call,negative,call,negative,say break motorway go call evening,negative,speak REDACTED apologetic arrange tyre fit follow Saturday,negative,ask use same mobile tyre fitter trust do,negative,follow Saturday arrive one show,negative,call REDACTED call tyre fitter,negative,tyre fitter say able get ask come Sunday,positive,tell go,negative,end agree local fitter fit tyre Saturday,positive,go appear,negative,collect car lacquer front wheel scuff,negative,tyre fitter come reason apologise accept blame,negative,say have look Friday,negative,fair say give,positive,fair whole situation REDACTED customer service good call centre staff compensate miss appointment,positive,problem be big issue tyre fitter use general,positive,recommend have tyre mobile fit Leeds Bradford area,negative,only mobile tyre fitter,negative,use,negative,,,,,,,,
9262,Would use again very quick and reasonably priced.,use quick price,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9263,Great site for tyres. Easy to use and easy to order and book. Tyres actually arrived earlier than expected and fitted earlier,great site tyre,positive,easy use easy order book,positive,tyre arrive expect fit,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9264,"Let down twice on availability, on offering alternative fitment options via e-mail had no response.Have used BC over many years and this is the first problem encountered.",let availability offer alternative fitment option e - mail have response,negative,use BC many year first problem encounter,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9265,"Quick, smooth transaction & professional garages. All at all inclusive best price. Been using them for last 4-5 years now. Always best",quick smooth transaction professional garage,positive,inclusive good price,positive,use last year,negative,good,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9266,"Excellent service , tyres delivered on time and fiited by fitting partner on time",excellent service tyre deliver time fiite fitting partner time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9267,Tyres fitted on the day with no issues,tyre fit day issue,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9268,Well priced great service,price great service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9269,"Ease of use, tyres replaced with any fuss.",ease use tyre replace fuss,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9270,Excellent service very competitive prices and appointed garage pleasant and efficient with no extra charges. Makes a nice change.,excellent service competitive price appoint garage pleasant efficient extra charge,positive,make nice change,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9271,"Easy to book, best price I could find for the quality of tyre and service from the fitting garage was good.",easy book good price find quality tyre service fitting garage good,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9272,"I have used [REDACTED] on two separate occasions, firstly for new front tyres and more recently for new rear tyres. Such an easy process, tyres fitted no issues at all at convenient location. Would recommend for anyone to use.",use REDACTED separate occasion new front tyre new rear tyre,positive,easy process tyre fit issue convenient location,positive,recommend use,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9273,Excellent service fitting 4 very good value tyres in under 45 minutes.,excellent service fit good value tyre minute,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9274,"Whole process very easy start to finish, and at a very good price. Tyres fitted by the Manager, Barney, at a time convenient to me. Third time I have used [REDACTED], will use them in the future.",whole process easy start finish good price,positive,tyre fit Manager Barney time convenient,negative,third time use REDACTED use future,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9275,"Great service, good price with only one fault. 4 day wait have them fitted.",great service good price fault,positive,day wait fit,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9276,Easy to use website. Competitive prices. Good information on tyres. Ability to book nearby garage for fitting and suitable date and time. Friendly helpful customer services to resolve problems. Excellent communications.,easy use website,positive,competitive price,negative,good information tyre,positive,ability book nearby garage fitting suitable date time,positive,friendly helpful customer service resolve problem,positive,excellent communication,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9277,"Excellent, straightforwards service",excellent straightforward service,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9278,Only site I will use to buy my tyres. Easy to navigte around the website and I can choose a garage near my work place or home.,only site use buy tyre,negative,easy navigte website choose garage work place home,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9279,The job was completed in a decent time frame to a good standard despite being very busy.,job complete decent time frame good standard busy,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9280,"First class,quality work delivered on time by people who clearly knew what they were doing",first class quality work deliver time people know do,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9281,"Tyre fitted at Jim Dickson Tyres in Cumbernauld Village. No issues at all, would recommend going here.",Tyre fit Jim Dickson Tyres Cumbernauld Village,negative,issue recommend go,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9282,Best price. Top service. What's not to like!,good price,positive,top service,positive,like,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9283,Straight forward from start to finish. Thank you.,start finish,positive,thank,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9284,"Best prices, quick delivery. Highly recommended",good price quick delivery,positive,recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9285,"Simple as can be, great price, great communication and best of all got them fitted at my local trusted ATS Euromaster, Burton on Trent",simple great price great communication good get fit local trust ATS Euromaster Burton Trent,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9286,"Went very well, everything done as stated on time",go do state time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9287,"This was the first time I’d used [REDACTED] and I will definitely use them again!So easy to order and pay for my tyre and to choose the garage.I was kept informed by email throughout the process. The whole procedure was easy, simple and painless!Highly recommend.",first time use REDACTED use again!So easy order pay tyre choose garage,positive,keep inform email process,negative,whole procedure easy simple recommend,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9288,Great service and value,great service value,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9289,Bought my tyre on line the service was good and they delivered to my choice tyre fitter on time.,buy tyre line service good deliver choice tyre fitter time,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9290,The prices are excellent and they use good local fitting centers.,price excellent use good local fitting center,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9291,Always had good dealings fair prices and service good,have good dealing fair price service good,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9292,"Easy, no nonsense process.Fitting dealers just gave me the option to leave car in morning or afternoon which meant that I had to leave the car and go back, otherwise no issues.",nonsense process,positive,fitting dealer give option leave car morning afternoon mean have leave car go issue,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9293,Excellent service and cheaper than anywhere else!,excellent service cheap,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9294,"Arrived on time and fitted four new tyres at a competitive cost on my driveway at home,saving my time taking the vehicle to a garage and waiting for possibly an hour or more for tyres to be fitted. Cannot fault the price or the service.",arrive time fit new tyre competitive cost driveway home save time take vehicle garage wait hour more tyre fit,positive,fault price service,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9295,"Excellent service,will be using these again.",excellent service use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9296,It all went through very smoothly,go,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9297,Great tyres & no problems getting them.,great tyre problem get,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9298,"Great price and very friendly service, nice and local",great price friendly service nice local,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9299,Good prices simple system,good price simple system,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9300,Easy to find the garage. Friendly reception.,easy find garage,positive,friendly reception,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9301,No problems throughout,problem,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9302,My original chosen time/date couldn’t be honoured because only ONE of my TWO tyres were delivered.My second time/date couldn’t be honoured because they did not have the 2nd tire in stock.So I was offered another tyre make and a new fitting date. On the plus side they did kept me updated after the initial appointment.,original choose time date honour tyre deliver,positive,second time date honour have 2nd tire stock,negative,offer tyre make new fitting date,positive,plus side keep update initial appointment,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9303,"quick, easy and good price able to use a tyre garage that I had used before",quick easy good price able use tyre garage use,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9304,Bloody marvelous..me and the wife are well chuffed 🙂👍,bloody marvelous wife chuff 🙂,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
